# This is a continuation of trace file C:\Users\Asus\AppData\Local\1C\1cedtstart\projects\TDM\.metadata\trace.log.bak_4
# version: 1.1
# verbose: true
# Time of creation: 2026-03-18 13:56:24.513
| Worker-9: Activate project context | 2026-03-18 13:56:24.528 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/TrainingAndDevelopmentManagement/src/InformationRegisters/UsersInfo/Forms/ListForm/Form.form |
| Worker-9: Activate project context | 2026-03-18 13:56:24.528 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/TrainingAndDevelopmentManagement/src/InformationRegisters/UsersInfo/Forms/ListForm/Form.form, owner object=com._1c.g5.v8.dt.metadata.mdclass.impl.InformationRegisterFormImpl@5045666e, objects to update in infobase=[bm://TrainingAndDevelopmentManagement/InformationRegister.UsersInfo#/forms:ListForm] |
| Worker-9: Activate project context | 2026-03-18 13:56:24.528 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/TrainingAndDevelopmentManagement/src/InformationRegisters/UsersInfo/Forms/ListForm/Form.form, originally changed objects=null, resulting objects to update in infobase=[bm://TrainingAndDevelopmentManagement/InformationRegister.UsersInfo#/forms:ListForm] |
| Worker-9: Activate project context | 2026-03-18 13:56:24.529 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/TrainingAndDevelopmentManagement/src/Catalogs/ReportMailings/Forms/ListForm/Form.form |
| Worker-9: Activate project context | 2026-03-18 13:56:24.529 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/TrainingAndDevelopmentManagement/src/Catalogs/ReportMailings/Forms/ListForm/Form.form, owner object=com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogFormImpl@1f8243ef, objects to update in infobase=[bm://TrainingAndDevelopmentManagement/Catalog.ReportMailings#/forms:ListForm] |
| Worker-9: Activate project context | 2026-03-18 13:56:24.529 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/TrainingAndDevelopmentManagement/src/Catalogs/ReportMailings/Forms/ListForm/Form.form, originally changed objects=null, resulting objects to update in infobase=[bm://TrainingAndDevelopmentManagement/Catalog.ReportMailings#/forms:ListForm] |
| Worker-9: Activate project context | 2026-03-18 13:56:24.530 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/TrainingAndDevelopmentManagement/src/DataProcessors/FilesOperations/Forms/FileExists/Form.form |
| Worker-9: Activate project context | 2026-03-18 13:56:24.530 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/TrainingAndDevelopmentManagement/src/DataProcessors/FilesOperations/Forms/FileExists/Form.form, owner object=com._1c.g5.v8.dt.metadata.mdclass.impl.DataProcessorFormImpl@965d39a1, objects to update in infobase=[bm://TrainingAndDevelopmentManagement/DataProcessor.FilesOperations#/forms:FileExists] |
| Worker-9: Activate project context | 2026-03-18 13:56:24.530 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/TrainingAndDevelopmentManagement/src/DataProcessors/FilesOperations/Forms/FileExists/Form.form, originally changed objects=null, resulting objects to update in infobase=[bm://TrainingAndDevelopmentManagement/DataProcessor.FilesOperations#/forms:FileExists] |
| Worker-9: Activate project context | 2026-03-18 13:56:24.530 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/TrainingAndDevelopmentManagement/src/DataProcessors/FormulasConstructor/Forms/FormulaEdit/Form.form |
| Worker-9: Activate project context | 2026-03-18 13:56:24.530 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/TrainingAndDevelopmentManagement/src/DataProcessors/FormulasConstructor/Forms/FormulaEdit/Form.form, owner object=com._1c.g5.v8.dt.metadata.mdclass.impl.DataProcessorFormImpl@9969e2c9, objects to update in infobase=[bm://TrainingAndDevelopmentManagement/DataProcessor.FormulasConstructor#/forms:FormulaEdit] |
| Worker-9: Activate project context | 2026-03-18 13:56:24.531 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/TrainingAndDevelopmentManagement/src/DataProcessors/FormulasConstructor/Forms/FormulaEdit/Form.form, originally changed objects=null, resulting objects to update in infobase=[bm://TrainingAndDevelopmentManagement/DataProcessor.FormulasConstructor#/forms:FormulaEdit] |
| Worker-9: Activate project context | 2026-03-18 13:56:24.531 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/TrainingAndDevelopmentManagement/src/DataProcessors/FilesOperations/Forms/ExportFolderForm/Form.form |
| Worker-9: Activate project context | 2026-03-18 13:56:24.531 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Determined infobase objects to be updated: changed file=L/TrainingAndDevelopmentManagement/src/DataProcessors/FilesOperations/Forms/ExportFolderForm/Form.form, owner object=com._1c.g5.v8.dt.metadata.mdclass.impl.DataProcessorFormImpl@b575fbb1, objects to update in infobase=[bm://TrainingAndDevelopmentManagement/DataProcessor.FilesOperations#/forms:ExportFolderForm] |
| Worker-9: Activate project context | 2026-03-18 13:56:24.531 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Notifying infobase synchronization strategy about changed objects: type=com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental, strategy=com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand, changed file=L/TrainingAndDevelopmentManagement/src/DataProcessors/FilesOperations/Forms/ExportFolderForm/Form.form, originally changed objects=null, resulting objects to update in infobase=[bm://TrainingAndDevelopmentManagement/DataProcessor.FilesOperations#/forms:ExportFolderForm] |
