# !SESSION 2025-11-24 16:13:06.746
# version: 1.1
# verbose: true
# The following option strings are specified for this debug session:
# 	com.e1c.g5.v8.dt.platform.standaloneserver.wst.core/debug=true
# 	org.eclipse.core.runtime/perf/success=true
# 	com._1c.g5.v8.dt.compare/debug=true
# 	com.e1c.g5.v8.dt.platform.standaloneserver.core/debug=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/infobase/resource-processing=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud/sync/console=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/debug=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/infobase/load=true
# 	org.eclipse.core.runtime/debug=true
# 	org.eclipse.core.runtime/perf=true
# 	com.e1c.g5.v8.dt.platform.standaloneserver.core/trace=true
# 	org.eclipse.wst.server.core/severe=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/platform=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud/process=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud/tunnel/console=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/infobase/load/object-resolve=true
# 	com.e1c.g5.v8.dt.platform.cloud.wst.core/debug=true
# 	com._1c.g5.v8.dt.platform.services.core/preferences/keep-temp-files/fail=true
# 	com.e1c.g5.v8.dt.platform.cloud.wst.core/trace=true
# 	com._1c.g5.v8.dt.platform.services.core/debug=true
# 	com._1c.g5.v8.dt.compare/trace/git-merge=true
# 	com.e1c.g5.v8.dt.platform.standaloneserver.wst.core/trace=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud=true
| pool-1-thread-51 | 2025-11-24 16:13:06.746 | com.e1c.g5.v8.dt.platform.standaloneserver.wst.core | /trace | com.e1c.g5.v8.dt.internal.platform.standaloneserver.wst.core.StandaloneServerWstPlugin | trace | 195 | Populating runtimes upon service activation |
| ModalContext | 2025-11-24 16:15:09.330 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Opening designer session: DesignerSessionInfobaseConnection [v8project=Configuration:Configuration, infobase=com._1c.g5.v8.dt.platform.services.model.impl.InfobaseReferenceImpl@64777af9 (name: InfoBase1, uuid: 2b075434-7e1c-4f51-86d8-ffd502899050, external: false, orderInList: -1.0, orderInTree: 0.0) (useProxy: NotUse, proxyServer: null, proxyPort: null, proxyUser: null, proxyPassword: null, clientConnectionSpeed: SelectAtStartup, authentication: PermitOsAuthentication, webserverAuthentication: PermitOsAuthentication, clientType: Auto, appArch: Auto, defaultClientType: Auto, version: 8.3, defaultVersion: null, webCommonInfoBaseUrl: null, additionalParameters: null, developmentServer: null, httpsCaCertificate: None, httpsClientCertificate: None, httpsClientCertificateFile: null, httpsClientCertificateSelectType: Recent, httpsClientNssPath: null, httpsClientNssCertificateName: null, httpsCaCertificateFile: null, showInList: false, updateUrl: null, mobilePublicKey: null), ][baseDirectory=C:\Users\Asus\AppData\Local\Temp\1cedt\ssh-24318\0, requiresSynchronization=true] |
| ModalContext | 2025-11-24 16:15:09.332 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Reusing cached alive designer agent connection for infobase InfoBase1 from the pool |
| ModalContext | 2025-11-24 16:15:09.333 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/load | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Loading full configuration from project to infobase InfoBase1 configuration |
| ModalContext | 2025-11-24 16:15:09.642 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Reusing alive cached designer agent connection for infobase InfoBase1 from the pool |
| ModalContext | 2025-11-24 16:15:09.724 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/load | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Exporting changes to platform XML: [com._1c.g5.v8.dt.metadata.mdclass.impl.ConfigurationImpl@f45e7efa] |
| ModalContext | 2025-11-24 16:15:09.725 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/load | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 218 | Zip XML export format is used |
| ModalContext | 2025-11-24 16:15:09.730 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/load | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 218 | Running com._1c.g5.v8.dt.internal.export.ExportOperation@1ea4067b |
| ModalContext | 2025-11-24 16:15:10.720 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/load | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 218 | Computing platform XML files paths... |
| ModalContext | 2025-11-24 16:15:10.723 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/load | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 218 | Export paths computed: [C:\Users\Asus\AppData\Local\Temp\1cedt\ssh-24318\0\xml-full-43987\Configuration.xml] |
| ModalContext | 2025-11-24 16:15:10.739 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/load | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 218 | Full loading to infobase: [C:\Users\Asus\AppData\Local\Temp\1cedt\ssh-24318\0\xml-full-43987\xml.zip] |
| ModalContext | 2025-11-24 16:15:10.743 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Reusing alive cached designer agent connection for infobase InfoBase1 from the pool |
| ModalContext | 2025-11-24 16:15:10.747 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Executing in existing designer session: Loading configuration to infobase InfoBase1 |
| ModalContext | 2025-11-24 16:15:10.778 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Sending to designer agent: config load-files --dir="xml-full-43987" --archive="xml.zip" --no-check --update-config-dump-info |
| ModalContext | 2025-11-24 16:15:11.450 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 218 | Updating database configuration of infobase InfoBase1 |
| ModalContext | 2025-11-24 16:15:11.460 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Sending to designer agent: config update-db-cfg --prompt-confirmation --session-terminate="prompt" |
| ModalContext | 2025-11-24 16:15:11.689 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Reusing alive cached designer agent connection for infobase InfoBase1 from the pool |
| ModalContext | 2025-11-24 16:15:11.691 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Retrieving data generation identifier from infobase InfoBase1 configuration using existing designer session |
| ModalContext | 2025-11-24 16:15:11.693 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Sending to designer agent: config generation-id |
| ModalContext | 2025-11-24 16:15:11.698 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/load | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Saving new genereation identifier for infobase InfoBase1 configuration: c5d16dd745488443b10eb93ab4a11e8900000000 |
| ModalContext | 2025-11-24 16:15:11.699 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/load | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 218 | Full load finished |
| ModalContext | 2025-11-24 16:15:11.725 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 218 | Reevaluating registered platform installations |
| ModalContext | 2025-11-24 16:15:11.726 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Loaded list of platform installations from store: 6 total |
| ModalContext | 2025-11-24 16:15:11.732 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Opening designer session: DesignerSessionInfobaseConnection [v8project=Configuration:Configuration, infobase=com._1c.g5.v8.dt.platform.services.model.impl.InfobaseReferenceImpl@64777af9 (name: InfoBase1, uuid: 2b075434-7e1c-4f51-86d8-ffd502899050, external: false, orderInList: -1.0, orderInTree: 0.0) (useProxy: NotUse, proxyServer: null, proxyPort: null, proxyUser: null, proxyPassword: null, clientConnectionSpeed: SelectAtStartup, authentication: PermitOsAuthentication, webserverAuthentication: PermitOsAuthentication, clientType: Auto, appArch: Auto, defaultClientType: Auto, version: 8.3, defaultVersion: null, webCommonInfoBaseUrl: null, additionalParameters: null, developmentServer: null, httpsCaCertificate: None, httpsClientCertificate: None, httpsClientCertificateFile: null, httpsClientCertificateSelectType: Recent, httpsClientNssPath: null, httpsClientNssCertificateName: null, httpsCaCertificateFile: null, showInList: false, updateUrl: null, mobilePublicKey: null), ][baseDirectory=C:\Users\Asus\AppData\Local\Temp\1cedt\ssh-24318\0, requiresSynchronization=true] |
| ModalContext | 2025-11-24 16:15:11.733 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Reusing cached alive designer agent connection for infobase InfoBase1 from the pool |
| Worker-10: Launching Configuration Thin Client | 2025-11-24 16:15:12.648 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 218 | Reevaluating registered platform installations |
| Worker-10: Launching Configuration Thin Client | 2025-11-24 16:15:12.651 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 234 | Loaded list of platform installations from store: 6 total |
